targetId	diseaseId	drugId	clinicalPhase	clinicalStatus	diseaseFromSource	isApproved	isComplex	actionType	mechanismOfAction	references	targetName	targetType	target	chemblId	phenotype_id
ENSG00000065989	MONDO_0004985	CHEMBL628	0.5	Completed	Bipolar Depression			INHIBITOR	3',5'-cyclic phosphodiesterase inhibitor	[Row(ids=['label/2012/018631s039lbl.pdf', 'label/2012/018631s039lbl.pdf'], source='FDA', urls=['http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/018631s039lbl.pdf', 'http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/018631s039lbl.pdf']), Row(ids=['19997047', '11692087', '18568240'], source='PubMed', urls=['http://europepmc.org/abstract/MED/19997047', 'http://europepmc.org/abstract/MED/11692087', 'http://europepmc.org/abstract/MED/18568240']), Row(ids=['Pentoxifylline', 'Pentoxifylline'], source='Wikipedia', urls=['http://en.wikipedia.org/wiki/Pentoxifylline', 'http://en.wikipedia.org/wiki/Pentoxifylline'])]	3',5'-cyclic phosphodiesterase	protein family	ENSG00000065989	CHEMBL628	ENSG00000065989
ENSG00000096968	EFO_0000519	CHEMBL1944698	1.0	Completed	Glioblastoma			INHIBITOR	Tyrosine-protein kinase JAK2 inhibitor	[Row(ids=['21860433', '21860433', '21860433', '21860433', '21860433', '21860433'], source='PubMed', urls=['http://europepmc.org/abstract/MED/21860433', 'http://europepmc.org/abstract/MED/21860433', 'http://europepmc.org/abstract/MED/21860433', 'http://europepmc.org/abstract/MED/21860433', 'http://europepmc.org/abstract/MED/21860433', 'http://europepmc.org/abstract/MED/21860433'])]	Tyrosine-protein kinase JAK2	single protein	ENSG00000096968	CHEMBL1944698	ENSG00000096968
ENSG00000096968	EFO_0000519	CHEMBL221959	3.0	Recruiting	Glioblastoma	False	True	INHIBITOR	Janus Kinase (JAK) inhibitor	[Row(ids=['TOFACITINIB'], source='Expert', urls=['http://chembl.blogspot.co.uk/search?q=TOFACITINIB'])]	Janus Kinase (JAK)	protein family	ENSG00000096968	CHEMBL221959	ENSG00000096968
ENSG00000096968	EFO_0000519	CHEMBL1789941	1.0	Active, not recruiting	Glioblastoma			INHIBITOR	Tyrosine-protein kinase JAK2 inhibitor	[Row(ids=['label/2012/202192s001lbl.pdf', 'label/2012/202192s001lbl.pdf'], source='FDA', urls=['http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/202192s001lbl.pdf', 'http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/202192s001lbl.pdf'])]	Tyrosine-protein kinase JAK2	single protein	ENSG00000096968	CHEMBL1789941	ENSG00000096968
ENSG00000101017	EFO_0006859	CHEMBL4297721	1.0	Completed	Head and Neck Cancer			AGONIST	Tumor necrosis factor receptor superfamily member 5 agonist	[Row(ids=['30382327'], source='PubMed', urls=['https://pubmed.ncbi.nlm.nih.gov/30382327/'])]	Tumor necrosis factor receptor superfamily member 5	single protein	ENSG00000101017	CHEMBL4297721	ENSG00000101017
ENSG00000101017	EFO_0006859	CHEMBL4594517	1.0	Terminated	Head and Neck Cancer			AGONIST	Tumor necrosis factor receptor superfamily member 5 agonist	[Row(ids=['https://ascopubs.org/doi/abs/10.1200/JCO.2020.38.15_suppl.TPS3147'], source='Other', urls=['https://ascopubs.org/doi/abs/10.1200/JCO.2020.38.15_suppl.TPS3147'])]	Tumor necrosis factor receptor superfamily member 5	single protein	ENSG00000101017	CHEMBL4594517	ENSG00000101017
ENSG00000111424	EFO_0000389	CHEMBL1536	3.0	Completed	Cutaneous Malignant Melanoma	False	False	AGONIST	Vitamin D receptor agonist	[Row(ids=['16949927', '17218095', '17519354'], source='PubMed', urls=['http://europepmc.org/abstract/MED/16949927', 'http://europepmc.org/abstract/MED/17218095', 'http://europepmc.org/abstract/MED/17519354'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1536	ENSG00000111424
ENSG00000111424	EFO_0002950	CHEMBL1042	3.0	Completed	Pregnancy	False	False	AGONIST	Vitamin D receptor agonist	[Row(ids=['15503649', '20435140'], source='PubMed', urls=['http://europepmc.org/abstract/MED/15503649', 'http://europepmc.org/abstract/MED/20435140'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1042	ENSG00000111424
ENSG00000111424	EFO_0002950	CHEMBL1042	3.0	Completed	Pregnancy	False	False	AGONIST	Vitamin D receptor agonist	[Row(ids=['15503649', '20435140'], source='PubMed', urls=['http://europepmc.org/abstract/MED/15503649', 'http://europepmc.org/abstract/MED/20435140'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1042	ENSG00000111424
ENSG00000111424	EFO_0002950	CHEMBL1536	3.0	Completed	Pregnancy Outcome Among Vitamin D Supplementation During Pregnancy	False	False	AGONIST	Vitamin D receptor agonist	[Row(ids=['16949927', '17218095', '17519354'], source='PubMed', urls=['http://europepmc.org/abstract/MED/16949927', 'http://europepmc.org/abstract/MED/17218095', 'http://europepmc.org/abstract/MED/17519354'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1536	ENSG00000111424
