leiden,Ontology_ID
B_0,CL_0000788
B_1,CL_0000786
B_10,CL_0000236
B_11,CL_0000786
B_12,CL_0000787
B_13,CL_0000787
B_2,CL_0000787
B_3,CL_0000787
B_4,CL_0000786
B_5,CL_0000786
B_6,CL_0000980
B_7,CL_0000236
B_8,CL_0000980
B_9,CL_0000236
Epithelial_0,CL_1000347
Epithelial_1,CL_1000342
Epithelial_10,CL_4047018
Epithelial_12,CL_0009017
Epithelial_13,CL_0009043
Epithelial_14,CL_0009017
Epithelial_15,CL_0019032
Epithelial_16,CL_1000326
Epithelial_17,CL_4047018
Epithelial_18,CL_1000342
Epithelial_19,CL_4047052
Epithelial_2,CL_1000342
Epithelial_20,CL_1000347
Epithelial_21,CL_1000347
Epithelial_22,CL_4047018
Epithelial_23,CL_1001516
Epithelial_24,CL_4047018
Epithelial_25,CL_1000342
Epithelial_26,CL_0000504
Epithelial_27,CL_0009057
Epithelial_28,CL_1000326
Epithelial_29,CL_4030026
Epithelial_3,CL_1000347
Epithelial_30,CL_1000342
Epithelial_31,CL_1000343
Epithelial_32,CL_0009057
Epithelial_4,CL_1000326
Epithelial_5,CL_0009057
Epithelial_6,CL_1000326
Epithelial_7,CL_0009017
Epithelial_9,CL_0009057
Mast,CL_0000097
Mesenchymal_0,CL_0000057
Mesenchymal_1,CL_0000057
Mesenchymal_10,CL_0000057
Mesenchymal_11,CL_0000131
Mesenchymal_12,CL_0000057
Mesenchymal_13,CL_0000057
Mesenchymal_14,CL_0000125
Mesenchymal_16,CL_0000186
Mesenchymal_2,CL_0000186
Mesenchymal_3,CL_0000669
Mesenchymal_4,CL_0000131
Mesenchymal_5,CL_0000131
Mesenchymal_6,CL_0000131
Mesenchymal_7,CL_0000359
Mesenchymal_8,CL_0000186
Mesenchymal_9,CL_4052007
Myeloid_0,CL_0000860
Myeloid_1,CL_0002393
Myeloid_10,CL_0000864
Myeloid_11,CL_0000784
Myeloid_14,CL_0000864
Myeloid_16,CL_0000990
Myeloid_17,CL_0000864
Myeloid_2,CL_0000864
Myeloid_3,CL_0000875
Myeloid_4,CL_0000864
Myeloid_7,CL_0000576
Myeloid_8,CL_0000990
Platelet+RBC,CL_0000233
T_0,CL_0000904
T_1,CL_0000904
T_10,CL_0000798
T_11,CL_0000897
T_12,CL_0000798
T_13,CL_0000792
T_15,CL_0001062
T_16,CL_0000792
T_19,CL_0000623
T_2,CL_0001203
T_20,CL_0001065
T_21,CL_0000798
T_22,CL_0002489
T_24,CL_0002489
T_3,CL_0000897
T_4,CL_4052021
T_5,CL_0000624
T_6,CL_0001204
T_7,CL_0000623
T_8,CL_0000913
T_9,CL_0000900
