chr	pos	loci_ID	Signal	Phenotype	start	end	size
1	1280044	1	1	IBD	780044	1780044	1e+06
1	7991181	3	1	IBD	7491181	8491181	1e+06
1	24968082	263	1	CD	24468082	25468082	1e+06
1	28131939	264	1	CD	27631939	28631939	1e+06
1	62583922	6	1	CD	62083922	63083922	1e+06
1	67182913	7	4	CD	66682913	67198610	515697
1	67214307	7	2	IBD	67198611	67227262	28651
1	67240217	7	3	CD	67227263	67241112	13849
1	67242007	7	1	IBD	67241113	67742007	500894
1	70529879	8	1	IBD	70029879	71029879	1e+06
1	78157942	9	1	CD	77657942	78657942	1e+06
1	92088726	10	1	IBD	91588726	92588726	1e+06
1	93349933	267	1	CD	92849933	93849933	1e+06
1	101000498	11	1	IBD	100500498	101500498	1e+06
1	108112400	268	1	IBD	107612400	108612400	1e+06
1	113834946	12	1	CD	113334946	114334946	1e+06
1	119908567	13	1	CD	119408567	120408567	1e+06
1	150706557	269	1	IBD	150206557	151206557	1e+06
1	151829204	14	1	IBD	151329204	152329204	1e+06
1	155061096	15	1	CD	154561096	155561096	1e+06
1	159830120	16	1	CD	159330120	160330120	1e+06
1	161509955	18	1	IBD	161009955	162009955	1e+06
1	169549811	19	1	IBD	169049811	170049811	1e+06
1	172884320	20	1	CD	172384320	173384320	1e+06
1	179134699	270	1	CD	178634699	179634699	1e+06
1	186906327	21	1	IBD	186406327	187406327	1e+06
1	191590226	22	1	CD	191090226	192090226	1e+06
1	197732149	23	1	IBD	197232149	198180841	948692
1	198629533	24	1	IBD	198180842	199129533	948691
1	200905967	26	1	IBD	200405967	201405967	1e+06
1	206770623	27	1	IBD	206270623	206781115	510492
1	206791607	27	2	IBD	206781116	207291607	510491
1	209797265	28	1	IBD	209297265	210297265	1e+06
1	234599210	273	1	IBD	234099210	235099210	1e+06
2	5523876	29	1	CD	5023876	6023876	1e+06
2	24938367	30	1	CD	24438367	25438367	1e+06
2	27508073	31	1	CD	27008073	27949803	941730
2	28391534	32	1	IBD	27949804	28891534	941730
2	43550825	33	1	CD	43050825	44050825	1e+06
2	60977721	34	1	IBD	60477721	61477721	1e+06
2	62325186	35	1	CD	61825186	62825186	1e+06
2	102322576	37	1	IBD	101822576	102822576	1e+06
2	105777237	274	1	CD	105277237	106277237	1e+06
2	127092119	276	1	IBD	126592119	127592119	1e+06
2	144752048	38	1	CD	144252048	145252048	1e+06
2	159937497	39	1	IBD	159437497	160437497	1e+06
2	172559679	277	1	CD	172059679	173059679	1e+06
2	181443625	41	1	IBD	180943625	181943625	1e+06
2	186711651	42	1	IBD	186211651	187211651	1e+06
2	191100618	43	1	CD	190600618	191600618	1e+06
2	198035564	44	1	CD	197535564	198535564	1e+06
2	203727298	46	1	IBD	203227298	204227298	1e+06
2	218181399	47	1	IBD	217681399	218681399	1e+06
2	227795396	48	1	IBD	227295396	228295396	1e+06
2	230296311	50	1	CD	229796311	230796311	1e+06
2	233252802	51	1	CD	232752802	233752802	1e+06
2	241545286	53	1	IBD	241045286	241671606	626320
2	241797926	54	1	IBD	241671607	242297926	626319
3	18763719	55	1	CD	18263719	19263719	1e+06
3	30608835	278	1	IBD	30108835	31108835	1e+06
3	49648651	57	2	CD	49148651	49666375	517724
3	49684099	57	1	IBD	49666376	50184099	517723
3	53099133	59	1	CD	52599133	53599133	1e+06
3	71126344	60	1	IBD	70626344	71626344	1e+06
3	101304904	61	1	IBD	100804904	101804904	1e+06
3	112334718	280	1	CD	111834718	112834718	1e+06
3	141390479	63	1	CD	140890479	141890479	1e+06
3	188683372	64	1	CD	188183372	189183372	1e+06
4	3442776	65	1	IBD	2942776	3942776	1e+06
4	26130739	66	1	IBD	25630739	26630739	1e+06
4	36061370	281	1	IBD	35561370	36561370	1e+06
4	38323415	67	1	IBD	37823415	38455123	631708
4	38586832	68	1	IBD	38455124	39086832	631708
4	48361228	69	1	CD	47861228	48861228	1e+06
4	73991991	70	1	IBD	73491991	74491991	1e+06
4	102080492	71	1	CD	101580492	102580492	1e+06
4	122639784	73	1	IBD	122139784	123139784	1e+06
5	10695414	75	1	IBD	10195414	11195414	1e+06
5	38867630	77	1	IBD	38367630	39367630	1e+06
5	40274697	78	2	CD	39774697	40342589	567892
5	40410482	78	1	CD	40342590	40448825	106235
5	40487168	78	3	CD	40448826	40987168	538342
5	56148856	79	1	CD	55648856	56648856	1e+06
5	72398072	80	1	IBD	71898072	72821047	922975
5	73244023	81	1	CD	72821048	73744023	922975
5	80229545	282	1	IBD	79729545	80729545	1e+06
5	96917099	82	1	CD	96417099	97417099	1e+06
5	102611094	83	1	CD	102111094	103111094	1e+06
5	112513193	283	1	IBD	112013193	113013193	1e+06
5	130440872	84	1	IBD	129940872	130940872	1e+06
5	132435113	85	1	CD	131935113	132935113	1e+06
5	142146492	87	1	CD	141646492	142506534	860042
5	142866576	284	1	IBD	142506535	143366576	860041
5	150898347	89	1	IBD	150398347	151398347	1e+06
5	156956411	285	1	IBD	156456411	157456411	1e+06
5	159349993	90	2	CD	158849993	159375377	525384
5	159400761	90	1	IBD	159375378	159900761	525383
5	172151212	286	1	IBD	171651212	172524593	873381
5	172897975	91	1	IBD	172524594	173373931	849337
5	173849887	92	1	CD	173373932	174349887	975955
5	177371039	93	1	IBD	176871039	177871039	1e+06
6	382559	94	1	IBD	0	882559	882559
6	3433084	95	1	IBD	2933084	3933084	1e+06
6	14731809	96	1	IBD	14231809	15231809	1e+06
6	20640188	98	1	CD	20140188	20676209	536021
6	20712230	98	2	CD	20676210	21048850	372640
6	21385471	99	1	IBD	21048851	21885471	836620
6	42039665	101	1	IBD	41539665	42539665	1e+06
6	90239477	103	1	CD	89739477	90739477	1e+06
6	106026874	104	1	CD	105526874	106054664	527790
6	106082455	104	2	CD	106054665	106582455	527790
6	111567337	105	1	IBD	111067337	112067337	1e+06
6	117522909	288	1	IBD	117022909	118022909	1e+06
6	127118152	107	1	CD	126618152	127538682	920530
6	127959213	108	1	CD	127538683	128459213	920530
6	137662332	109	3	CD	137162332	137753631	591299
6	137844931	109	2	CD	137753632	138344931	591299
6	143577757	110	1	IBD	143077757	144077757	1e+06
6	149255943	111	1	IBD	148755943	149755943	1e+06
6	159069404	112	1	CD	158569404	159569404	1e+06
6	166976754	113	1	CD	166476754	167476754	1e+06
