Study,Trait_reported,Lead_variant,Molecular_trait,Gene_symbol,Tissue,Source,H3,H4,log2(H4/H3),Title,Author,Has_sumstats,numAssocLoci,nInitial cohort,study_nReplication,study_nCases,Publication_date,Journal,Pubmed_id,max_H4,min_H4
GCST004131,Inflammatory bowel disease,20_6113242_T_G,CRLS1,ENSG00000088766,Brain substantia nigra,GTEx-sQTL,0.64,0.04,-3.94,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.04,0.04
GCST004133,Ulcerative colitis,5_150226431_C_T,SMIM3,ENSG00000256235,Esophagus gastroesophageal junction,GTEx-sQTL,0.16,0.06,-1.48,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,66,45975,NA,12366,2017-01-09,Nat Genet,PMID:28067908,0.06,0.06
GCST003044,Crohn's disease [EA],6_137662332_C_A,TNFAIP3,ENSG00000118503,Esophagus gastroesophageal junction,GTEx-sQTL,0.11,0.07,-0.58,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,175,20883,48385,5956,2015-07-20,Nat Genet,PMID:26192919,0.07,0.07
GCST004131,Inflammatory bowel disease,4_38586832_G_A,TLR1,ENSG00000174125,Monocyte,Quach_2016,0.35,0.07,-2.25,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.07,0.07
GCST004132,Crohn's disease,19_10359299_A_C,SLC44A2,ENSG00000129353,Adipose visceral omentum,GTEx-sQTL,0.27,0.08,-1.74,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.08,0.08
GCST004131,Inflammatory bowel disease,19_10359299_A_C,SLC44A2,ENSG00000129353,Adipose visceral omentum,GTEx-sQTL,0.27,0.08,-1.83,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.08,0.08
GCST003044,Crohn's disease [EA],7_28150502_C_T,TAX1BP1,ENSG00000106052,Esophagus gastroesophageal junction,GTEx-sQTL,0.02,0.09,2.32,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,175,20883,48385,5956,2015-07-20,Nat Genet,PMID:26192919,0.09,0.09
GCST003044,Crohn's disease [EA],7_28150502_C_T,TAX1BP1,ENSG00000106052,Artery tibial,GTEx-sQTL,0.02,0.09,2.22,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,175,20883,48385,5956,2015-07-20,Nat Genet,PMID:26192919,0.09,0.09
GCST004131,Inflammatory bowel disease,3_47263535_C_T,SHISA5,ENSG00000164054,Small intestine terminal ileum,GTEx-sQTL,0.02,0.1,2.65,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.1,0.04
GCST004131,Inflammatory bowel disease,3_47263535_C_T,SHISA5,ENSG00000164054,Nerve tibial,GTEx-sQTL,0.01,0.04,1.63,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.1,0.04
GCST004132,Crohn's disease,3_53099133_C_G,NISCH,ENSG00000010322,Vagina,GTEx-sQTL,0.09,0.1,0.04,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.1,0.1
GCST004132,Crohn's disease,2_27508073_T_C,TMEM214,ENSG00000119777,Brain hypothalamus,GTEx-sQTL,0.09,0.12,0.51,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.12,0.12
GCST004132,Crohn's disease,2_27508073_T_C,TMEM214,ENSG00000119777,Pancreas,GTEx-sQTL,0.09,0.12,0.34,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.12,0.12
GCST003045,Ulcerative colitis [EA],2_162267541_C_T,DPP4,ENSG00000197635,Ovary,GTEx-sQTL,0.03,0.13,2.3,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,110,27432,45215,6968,2015-07-20,Nat Genet,PMID:26192919,0.13,0.13
GCST90038683,Inflammatory bowel disease,11_76570549_C_T,EMSY,ENSG00000158636,Brain cerebellar hemisphere,GTEx-sQTL,0.29,0.08,-1.81,Common genetic associations between age-related diseases.,Donertas HM,TRUE,19,484598,NA,4101,2021-04-08,Nat Aging,PMID:33959723,0.13,0.08
