chr	pos	loci_ID	Signal	Phenotype	start	end	size
1	1280044	1	1	IBD	780044	1780044	1e+06
1	2566588	2	1	UC	2066588	3066588	1e+06
1	7991181	3	1	IBD	7491181	8491181	1e+06
1	19811221	4	3	UC	19311221	19813797	502576
1	19816373	4	2	UC	19813798	19830870	17072
1	19845367	4	1	UC	19830871	20345367	514496
1	22373858	5	1	UC	21873858	22873858	1e+06
1	33337547	265	1	UC	32837547	33837547	1e+06
1	56454342	266	1	UC	55954342	56954342	1e+06
1	67129425	7	5	UC	66629425	67171866	542441
1	67214307	7	2	IBD	67171867	67228157	56290
1	67242007	7	1	IBD	67228158	67742007	513849
1	70529879	8	1	IBD	70029879	71029879	1e+06
1	92088726	10	1	IBD	91588726	92588726	1e+06
1	101000498	11	1	IBD	100500498	101500498	1e+06
1	108112400	268	1	IBD	107612400	108612400	1e+06
1	150706557	269	1	IBD	150206557	151206557	1e+06
1	151829204	14	1	IBD	151329204	152329204	1e+06
1	160886023	17	1	UC	160386023	161197989	811966
1	161509955	18	1	IBD	161197990	162009955	811965
1	169549811	19	1	IBD	169049811	170049811	1e+06
1	186906327	21	1	IBD	186406327	187406327	1e+06
1	197732149	23	1	IBD	197232149	198180841	948692
1	198629533	24	1	IBD	198180842	199129533	948691
1	200108907	25	1	UC	199608907	200507437	898530
1	200905967	26	1	IBD	200507438	201405967	898529
1	205516162	271	1	UC	205016162	206016162	1e+06
1	206770623	27	1	IBD	206270623	206781115	510492
1	206791607	27	2	IBD	206781116	207291607	510491
1	209797265	28	1	IBD	209297265	210297265	1e+06
1	226819948	272	1	UC	226319948	227319948	1e+06
1	234599210	273	1	IBD	234099210	235099210	1e+06
2	28391534	32	1	IBD	27891534	28891534	1e+06
2	60977721	34	1	IBD	60477721	61477721	1e+06
2	65459327	36	1	UC	64959327	65959327	1e+06
2	102322576	37	1	IBD	101822576	102822576	1e+06
2	111175424	275	1	UC	110675424	111675424	1e+06
2	127092119	276	1	IBD	126592119	127592119	1e+06
2	159937497	39	1	IBD	159437497	160437497	1e+06
2	162268127	40	1	UC	161768127	162768127	1e+06
2	181443625	41	1	IBD	180943625	181943625	1e+06
2	186711651	42	1	IBD	186211651	187211651	1e+06
2	198634719	45	2	UC	198134719	198665376	530657
2	198696033	45	1	UC	198665377	199196033	530656
2	203727298	46	1	IBD	203227298	204227298	1e+06
2	218181399	47	1	IBD	217681399	218681399	1e+06
2	227795396	48	1	IBD	227295396	227800578	505182
2	227805760	49	1	UC	227800579	228305760	505181
2	240634984	52	1	UC	240134984	241090135	955151
2	241545286	53	1	IBD	241090136	241671606	581470
2	241797926	54	1	IBD	241671607	242297926	626319
3	30608835	278	1	IBD	30108835	31108835	1e+06
3	46415921	56	1	UC	45915921	46915921	1e+06
3	49684099	57	1	IBD	49184099	50184099	1e+06
3	52013158	279	1	UC	51513158	52513158	1e+06
3	53028645	58	1	UC	52528645	53528645	1e+06
3	71126344	60	1	IBD	70626344	71626344	1e+06
3	101304904	61	1	IBD	100804904	101577893	772989
3	101850882	62	1	UC	101577894	102350882	772988
4	3442776	65	1	IBD	2942776	3942776	1e+06
4	26130739	66	1	IBD	25630739	26630739	1e+06
4	36061370	281	1	IBD	35561370	36561370	1e+06
4	38323415	67	1	IBD	37823415	38455123	631708
4	38586832	68	1	IBD	38455124	39086832	631708
4	73991991	70	1	IBD	73491991	74491991	1e+06
4	105154341	72	1	UC	104654341	105654341	1e+06
4	122639784	73	1	IBD	122139784	123139784	1e+06
5	554096	74	1	UC	54096	1054096	1e+06
5	10695414	75	1	IBD	10195414	11195414	1e+06
5	35876172	76	1	UC	35376172	36376172	1e+06
5	38867630	77	1	IBD	38367630	39367630	1e+06
5	72398072	80	1	IBD	71898072	72898072	1e+06
5	80229545	282	1	IBD	79729545	80729545	1e+06
5	112513193	283	1	IBD	112013193	113013193	1e+06
5	130440872	84	1	IBD	129940872	130940872	1e+06
5	135115775	86	1	UC	134615775	135615775	1e+06
5	142866576	284	1	IBD	142366576	143366576	1e+06
5	150226431	88	1	UC	149726431	150562389	835958
5	150898347	89	1	IBD	150562390	151398347	835957
5	156956411	285	1	IBD	156456411	157456411	1e+06
5	159400761	90	1	IBD	158900761	159900761	1e+06
5	172151212	286	1	IBD	171651212	172524593	873381
5	172897975	91	1	IBD	172524594	173397975	873381
5	177371039	93	1	IBD	176871039	177794082	923043
5	178217126	287	1	UC	177794083	178717126	923043
6	382559	94	1	IBD	0	882559	882559
6	3433084	95	1	IBD	2933084	3933084	1e+06
6	14731809	96	1	IBD	14231809	15231809	1e+06
6	19780778	97	1	UC	19280778	20280778	1e+06
6	21385471	99	1	IBD	20885471	21885471	1e+06
6	42039665	101	1	IBD	41539665	42539665	1e+06
6	43828231	102	1	UC	43328231	44328231	1e+06
6	111567337	105	1	IBD	111067337	112067337	1e+06
6	116447754	106	1	UC	115947754	116947754	1e+06
6	117522909	288	1	IBD	117022909	118022909	1e+06
6	137643560	109	1	UC	137143560	138143560	1e+06
6	143577757	110	1	IBD	143077757	144077757	1e+06
6	149255943	111	1	IBD	148755943	149755943	1e+06
7	2749278	114	1	UC	2249278	3249278	1e+06
7	6505557	115	1	IBD	6005557	7005557	1e+06
7	17403055	116	1	UC	16903055	17903055	1e+06
