loci_ID	Signal	including_genes
1	1	ENSG00000223972,ENSG00000227232,ENSG00000278267,ENSG00000243485,ENSG00000284332,ENSG00000237613,ENSG00000268020,ENSG00000240361,ENSG00000186092,ENSG00000238009,ENSG00000239945,ENSG00000233750,ENSG00000268903,ENSG00000269981,ENSG00000239906,ENSG00000241860,ENSG00000222623,ENSG00000241599,ENSG00000279928,ENSG00000279457,ENSG00000273874,ENSG00000228463,ENSG00000286448,ENSG00000236679,ENSG00000236601,ENSG00000237094,ENSG00000269732,ENSG00000284733,ENSG00000233653,ENSG00000250575,ENSG00000278757,ENSG00000230021,ENSG00000235146,ENSG00000225972,ENSG00000225630,ENSG00000237973,ENSG00000278791,ENSG00000229344,ENSG00000240409,ENSG00000248527,ENSG00000198744,ENSG00000268663,ENSG00000284662,ENSG00000229376,ENSG00000228327,ENSG00000223181,ENSG00000229905,ENSG00000237491,ENSG00000285268,ENSG00000230092,ENSG00000177757,ENSG00000228794,ENSG00000225880,ENSG00000288531,ENSG00000230368,ENSG00000234711,ENSG00000283040,ENSG00000272438,ENSG00000230699,ENSG00000241180,ENSG00000223764,ENSG00000187634,ENSG00000188976,ENSG00000187961,ENSG00000187583,ENSG00000187642,ENSG00000272512,ENSG00000188290,ENSG00000187608,ENSG00000231702,ENSG00000224969,ENSG00000188157,ENSG00000242590,ENSG00000217801,ENSG00000273443,ENSG00000237330,ENSG00000131591,ENSG00000285812,ENSG00000223823,ENSG00000207730,ENSG00000207607,ENSG00000198976,ENSG00000272141,ENSG00000205231,ENSG00000162571,ENSG00000186891,ENSG00000186827,ENSG00000078808,ENSG00000176022,ENSG00000184163,ENSG00000260179,ENSG00000160087,ENSG00000230415,ENSG00000162572,ENSG00000131584,ENSG00000278073,ENSG00000169972,ENSG00000127054,ENSG00000283712,ENSG00000240731,ENSG00000224051,ENSG00000169962,ENSG00000107404,ENSG00000284372,ENSG00000162576,ENSG00000175756,ENSG00000223663,ENSG00000221978,ENSG00000224870,ENSG00000242485,ENSG00000264293,ENSG00000272455,ENSG00000235098,ENSG00000225905,ENSG00000205116,ENSG00000225285,ENSG00000179403,ENSG00000215915,ENSG00000160072,ENSG00000284740,ENSG00000197785,ENSG00000205090,ENSG00000160075,ENSG00000215014,ENSG00000274481,ENSG00000228594,ENSG00000286989,ENSG00000272106,ENSG00000197530,ENSG00000189409,ENSG00000248333,ENSG00000272004,ENSG00000189339,ENSG00000269737,ENSG00000215914,ENSG00000008128,ENSG00000268575,ENSG00000227775,ENSG00000215790,ENSG00000008130,ENSG00000078369,ENSG00000231050,ENSG00000169885,ENSG00000178821
2	1	ENSG00000142609,ENSG00000233542,ENSG00000187730,ENSG00000226969,ENSG00000067606,ENSG00000271806,ENSG00000182873,ENSG00000162585,ENSG00000234396,ENSG00000157933,ENSG00000287356,ENSG00000116151,ENSG00000272161,ENSG00000269896,ENSG00000272420,ENSG00000157916,ENSG00000157911,ENSG00000149527,ENSG00000224387,ENSG00000229393,ENSG00000157881,ENSG00000197921,ENSG00000272449,ENSG00000238164,ENSG00000157873,ENSG00000225931,ENSG00000228037,ENSG00000289610,ENSG00000157870,ENSG00000142606,ENSG00000237058,ENSG00000215912,ENSG00000285945,ENSG00000283259,ENSG00000233234,ENSG00000287396,ENSG00000231630,ENSG00000284745,ENSG00000169717,ENSG00000177133,ENSG00000142611,ENSG00000283572,ENSG00000226286,ENSG00000279839,ENSG00000272235,ENSG00000287828,ENSG00000286518,ENSG00000130762,ENSG00000272088,ENSG00000162591,ENSG00000207776,ENSG00000238260,ENSG00000158109,ENSG00000116213,ENSG00000078900,ENSG00000227589,ENSG00000235131,ENSG00000227372,ENSG00000276189,ENSG00000162592,ENSG00000235169,ENSG00000130764,ENSG00000266075,ENSG00000272153,ENSG00000116198,ENSG00000169598,ENSG00000198912,ENSG00000236423,ENSG00000233304,ENSG00000226374,ENSG00000284668,ENSG00000284703
3	1	ENSG00000171680,ENSG00000162408,ENSG00000253022,ENSG00000229519,ENSG00000173662,ENSG00000204859,ENSG00000162413,ENSG00000116273,ENSG00000041988,ENSG00000007923,ENSG00000228750,ENSG00000284744,ENSG00000237436,ENSG00000171735,ENSG00000227950,ENSG00000237365,ENSG00000207056,ENSG00000237402,ENSG00000237728,ENSG00000225126,ENSG00000270171,ENSG00000270035,ENSG00000269978,ENSG00000049245,ENSG00000269925,ENSG00000049246,ENSG00000236266,ENSG00000049247,ENSG00000049249,ENSG00000270330,ENSG00000116288,ENSG00000200344,ENSG00000284747,ENSG00000284716,ENSG00000116285,ENSG00000238290,ENSG00000232848,ENSG00000229305,ENSG00000288816,ENSG00000227634,ENSG00000200975,ENSG00000233645,ENSG00000251977,ENSG00000162426,ENSG00000252254,ENSG00000142599,ENSG00000232912,ENSG00000221083,ENSG00000270282,ENSG00000234619,ENSG00000224315,ENSG00000222511,ENSG00000226545,ENSG00000228423,ENSG00000229716,ENSG00000074800,ENSG00000274258,ENSG00000230679,ENSG00000201725,ENSG00000238249,ENSG00000232208,ENSG00000232663,ENSG00000131686,ENSG00000265141,ENSG00000197241,ENSG00000142583,ENSG00000252404,ENSG00000180758,ENSG00000228526,ENSG00000284357,ENSG00000234546,ENSG00000049239,ENSG00000171621,ENSG00000284652,ENSG00000284693,ENSG00000252956
4	3	ENSG00000225387,ENSG00000179023,ENSG00000235282,ENSG00000225478,ENSG00000009709,ENSG00000179002,ENSG00000159423,ENSG00000265606,ENSG00000221662,ENSG00000169991,ENSG00000272084,ENSG00000127481,ENSG00000230424,ENSG00000127463,ENSG00000053372,ENSG00000286064,ENSG00000211454,ENSG00000162482,ENSG00000270728,ENSG00000053371,ENSG00000200403,ENSG00000040487,ENSG00000077549,ENSG00000240490,ENSG00000173436,ENSG00000201609,ENSG00000235185,ENSG00000158747,ENSG00000270136,ENSG00000226396,ENSG00000158748,ENSG00000162542
4	2	ENSG00000178828,ENSG00000235434
4	1	ENSG00000169914,ENSG00000188784,ENSG00000242688,ENSG00000188257,ENSG00000127472,ENSG00000117215,ENSG00000158786,ENSG00000227066,ENSG00000187980,ENSG00000162543,ENSG00000228105,ENSG00000284710,ENSG00000158816,ENSG00000226664,ENSG00000236963,ENSG00000226487,ENSG00000284641,ENSG00000284743,ENSG00000162545,ENSG00000289402,ENSG00000090432,ENSG00000215520,ENSG00000183114,ENSG00000158825,ENSG00000158828,ENSG00000284005,ENSG00000117242,ENSG00000244038,ENSG00000117245,ENSG00000235432,ENSG00000189410,ENSG00000233069,ENSG00000127483,ENSG00000251914,ENSG00000221808,ENSG00000233072,ENSG00000236073
5	1	ENSG00000075151,ENSG00000235112,ENSG00000287192,ENSG00000117298,ENSG00000236936,ENSG00000231105,ENSG00000236216,ENSG00000228823,ENSG00000236009,ENSG00000227001,ENSG00000187952,ENSG00000186543,ENSG00000142794,ENSG00000176378,ENSG00000162551,ENSG00000233431,ENSG00000076864,ENSG00000090686,ENSG00000231978,ENSG00000187942,ENSG00000142798,ENSG00000232037,ENSG00000283234,ENSG00000219073,ENSG00000285959,ENSG00000273610,ENSG00000201919,ENSG00000142789,ENSG00000278124,ENSG00000201273,ENSG00000228397,ENSG00000218510,ENSG00000070831,ENSG00000285752,ENSG00000285794,ENSG00000230068,ENSG00000271428,ENSG00000162552,ENSG00000285873,ENSG00000266564,ENSG00000234397,ENSG00000279625,ENSG00000184677,ENSG00000237200,ENSG00000070886,ENSG00000276835,ENSG00000173372,ENSG00000159189,ENSG00000173369,ENSG00000133216,ENSG00000265422,ENSG00000225952,ENSG00000264014,ENSG00000215906,ENSG00000227868,ENSG00000004487,ENSG00000240553,ENSG00000263793,ENSG00000266802,ENSG00000169641,ENSG00000229010,ENSG00000206935,ENSG00000252578,ENSG00000289014,ENSG00000179546,ENSG00000215381,ENSG00000261326,ENSG00000284726,ENSG00000125944,ENSG00000125945,ENSG00000249087,ENSG00000201405,ENSG00000271420,ENSG00000204219,ENSG00000232482,ENSG00000088280,ENSG00000007968,ENSG00000235052,ENSG00000117318,ENSG00000285802,ENSG00000197880,ENSG00000229239
263	1	ENSG00000142676,ENSG00000236810,ENSG00000011007,ENSG00000057757,ENSG00000011009,ENSG00000117308,ENSG00000117305,ENSG00000179163,ENSG00000188822,ENSG00000229106,ENSG00000232557,ENSG00000264926,ENSG00000230228,ENSG00000189266,ENSG00000188529,ENSG00000215905,ENSG00000225315,ENSG00000142661,ENSG00000230703,ENSG00000142677,ENSG00000185436,ENSG00000158055,ENSG00000230023,ENSG00000232298,ENSG00000001460,ENSG00000001461,ENSG00000288982,ENSG00000286061,ENSG00000117602,ENSG00000264443,ENSG00000184454,ENSG00000227312,ENSG00000239106,ENSG00000133226,ENSG00000284699,ENSG00000169504,ENSG00000238482,ENSG00000020633,ENSG00000278034,ENSG00000229162,ENSG00000261025,ENSG00000264371,ENSG00000285823,ENSG00000233755,ENSG00000233419,ENSG00000231953,ENSG00000117614,ENSG00000284602,ENSG00000284657,ENSG00000117616,ENSG00000272432,ENSG00000261349,ENSG00000187010,ENSG00000224183,ENSG00000259984,ENSG00000183726,ENSG00000188672,ENSG00000238084,ENSG00000204178,ENSG00000157978,ENSG00000225643,ENSG00000117643,ENSG00000233478,ENSG00000162430,ENSG00000255054,ENSG00000228172,ENSG00000117640,ENSG00000272478,ENSG00000127423,ENSG00000236528,ENSG00000182749,ENSG00000207302,ENSG00000117632,ENSG00000229786,ENSG00000223624,ENSG00000283938,ENSG00000158006,ENSG00000207237,ENSG00000252190,ENSG00000252691,ENSG00000158008,ENSG00000158014,ENSG00000284309,ENSG00000158022,ENSG00000175087,ENSG00000197245,ENSG00000282872,ENSG00000236782,ENSG00000142684,ENSG00000142675,ENSG00000188782,ENSG00000236155,ENSG00000278572,ENSG00000130695,ENSG00000270733,ENSG00000142669,ENSG00000158062,ENSG00000169442,ENSG00000176092,ENSG00000225854,ENSG00000176083,ENSG00000131914,ENSG00000117682,ENSG00000223583,ENSG00000225891
264	1	ENSG00000229247,ENSG00000238316,ENSG00000235069,ENSG00000260063,ENSG00000117713,ENSG00000060642,ENSG00000241188,ENSG00000287810,ENSG00000204160,ENSG00000175793,ENSG00000142751,ENSG00000226698,ENSG00000289554,ENSG00000198746,ENSG00000090273,ENSG00000131910,ENSG00000175707,ENSG00000172746,ENSG00000224064,ENSG00000225294,ENSG00000253368,ENSG00000158246,ENSG00000090020,ENSG00000229985,ENSG00000214973,ENSG00000225159,ENSG00000225990,ENSG00000224311,ENSG00000142784,ENSG00000252098,ENSG00000243659,ENSG00000186501,ENSG00000206888,ENSG00000241547,ENSG00000142765,ENSG00000142733,ENSG00000142748,ENSG00000174950,ENSG00000231207,ENSG00000181773,ENSG00000158195,ENSG00000241169,ENSG00000237429,ENSG00000126705,ENSG00000000938,ENSG00000235912,ENSG00000233975,ENSG00000126709,ENSG00000225886,ENSG00000206767,ENSG00000226662,ENSG00000207095,ENSG00000287244,ENSG00000009780,ENSG00000231344,ENSG00000230833,ENSG00000117758,ENSG00000269971,ENSG00000270031,ENSG00000223062,ENSG00000286433,ENSG00000117751,ENSG00000252947,ENSG00000130775,ENSG00000117748,ENSG00000130768,ENSG00000227050,ENSG00000158156,ENSG00000158161,ENSG00000238231,ENSG00000240750,ENSG00000228589,ENSG00000228943,ENSG00000289576,ENSG00000214812,ENSG00000253005,ENSG00000169403,ENSG00000126698,ENSG00000130770,ENSG00000270605,ENSG00000271398,ENSG00000130766,ENSG00000130772,ENSG00000204138,ENSG00000206779,ENSG00000229820,ENSG00000221216,ENSG00000180198,ENSG00000242125,ENSG00000274266,ENSG00000200087,ENSG00000231468,ENSG00000279443,ENSG00000180098,ENSG00000197989,ENSG00000221539,ENSG00000278274,ENSG00000273544,ENSG00000280498,ENSG00000274582,ENSG00000120656,ENSG00000188060,ENSG00000229388,ENSG00000270103,ENSG00000274978,ENSG00000162419,ENSG00000252777,ENSG00000289291,ENSG00000198492,ENSG00000116329,ENSG00000233427,ENSG00000199756,ENSG00000159023,ENSG00000225616,ENSG00000206704,ENSG00000277958,ENSG00000253304,ENSG00000225750,ENSG00000116350,ENSG00000277916,ENSG00000116353,ENSG00000237934,ENSG00000060656,ENSG00000230523,ENSG00000225011
265	1	ENSG00000203620,ENSG00000269967,ENSG00000184007,ENSG00000288678,ENSG00000228634,ENSG00000284702,ENSG00000121774,ENSG00000203325,ENSG00000121775,ENSG00000266203,ENSG00000276493,ENSG00000025800,ENSG00000250135,ENSG00000084652,ENSG00000160050,ENSG00000224066,ENSG00000160051,ENSG00000222046,ENSG00000160055,ENSG00000084623,ENSG00000220785,ENSG00000183615,ENSG00000182866,ENSG00000277617,ENSG00000252450,ENSG00000116478,ENSG00000175130,ENSG00000233775,ENSG00000162526,ENSG00000225828,ENSG00000160058,ENSG00000224333,ENSG00000270850,ENSG00000229259,ENSG00000263529,ENSG00000254553,ENSG00000273274,ENSG00000160062,ENSG00000176261,ENSG00000200591,ENSG00000162521,ENSG00000162520,ENSG00000224409,ENSG00000162522,ENSG00000134684,ENSG00000116497,ENSG00000160097,ENSG00000121905,ENSG00000121900,ENSG00000287691,ENSG00000116514,ENSG00000278966,ENSG00000217644,ENSG00000239670,ENSG00000236065,ENSG00000004455,ENSG00000276645,ENSG00000142920,ENSG00000278997,ENSG00000116525,ENSG00000279179,ENSG00000284721,ENSG00000160094,ENSG00000270115,ENSG00000184389,ENSG00000225313,ENSG00000134686,ENSG00000284154,ENSG00000222112,ENSG00000233246,ENSG00000234512,ENSG00000121903,ENSG00000235907,ENSG00000121904,ENSG00000227000,ENSG00000176256,ENSG00000231163,ENSG00000201148,ENSG00000142698,ENSG00000270241,ENSG00000287703,ENSG00000207941,ENSG00000189280,ENSG00000189433,ENSG00000255811,ENSG00000188910,ENSG00000187513
266	1	ENSG00000284601,ENSG00000143001,ENSG00000233271,ENSG00000162399,ENSG00000169174,ENSG00000162402,ENSG00000231090,ENSG00000231095,ENSG00000265822,ENSG00000234810,ENSG00000231900,ENSG00000232198,ENSG00000199831,ENSG00000252162,ENSG00000272051,ENSG00000233079,ENSG00000230250,ENSG00000227104,ENSG00000235612,ENSG00000260971,ENSG00000284686,ENSG00000229871,ENSG00000223956,ENSG00000162407,ENSG00000236776,ENSG00000224980,ENSG00000225475,ENSG00000162409,ENSG00000187889,ENSG00000229913,ENSG00000157131,ENSG00000021852,ENSG00000236341,ENSG00000227935,ENSG00000236888,ENSG00000226759
6	1	ENSG00000237853,ENSG00000284808,ENSG00000287224,ENSG00000223920,ENSG00000162604,ENSG00000271200,ENSG00000132849,ENSG00000200575,ENSG00000212360,ENSG00000236646,ENSG00000242860,ENSG00000263908,ENSG00000283690,ENSG00000234204,ENSG00000234088,ENSG00000240563,ENSG00000237227,ENSG00000200174,ENSG00000132854,ENSG00000201153,ENSG00000162607,ENSG00000116641,ENSG00000270549,ENSG00000132855,ENSG00000278967,ENSG00000213703,ENSG00000235545,ENSG00000125703,ENSG00000234318,ENSG00000237163,ENSG00000229537,ENSG00000286455,ENSG00000227485,ENSG00000229225,ENSG00000203605,ENSG00000224209,ENSG00000252259,ENSG00000228734,ENSG00000223683,ENSG00000230798,ENSG00000187140,ENSG00000275836,ENSG00000252784,ENSG00000236674,ENSG00000088035,ENSG00000142856,ENSG00000286429,ENSG00000203965,ENSG00000264271,ENSG00000251720,ENSG00000116652,ENSG00000276884,ENSG00000278287,ENSG00000277565,ENSG00000275823,ENSG00000277689,ENSG00000274199,ENSG00000079739,ENSG00000244256,ENSG00000185483,ENSG00000177452,ENSG00000228056,ENSG00000207190,ENSG00000200508
7	5	ENSG00000285079,ENSG00000239319,ENSG00000184588,ENSG00000227466,ENSG00000223152,ENSG00000118473,ENSG00000264720,ENSG00000248458,ENSG00000152760,ENSG00000172410,ENSG00000152763,ENSG00000231080,ENSG00000198160,ENSG00000289394,ENSG00000116704,ENSG00000252433,ENSG00000275678,ENSG00000162594
7	4	ENSG00000253074
7	2	
7	3	ENSG00000203963
7	1	ENSG00000252116,ENSG00000228523,ENSG00000081985,ENSG00000142864,ENSG00000223263,ENSG00000235200,ENSG00000207504,ENSG00000238139,ENSG00000242482,ENSG00000232048,ENSG00000116717,ENSG00000172380,ENSG00000238778,ENSG00000232284,ENSG00000235055,ENSG00000162595,ENSG00000228431,ENSG00000116729,ENSG00000234383,ENSG00000221203,ENSG00000229133,ENSG00000225242,ENSG00000237622,ENSG00000229440,ENSG00000116745,ENSG00000024526,ENSG00000233589,ENSG00000234264,ENSG00000225167,ENSG00000285041,ENSG00000285407
8	1	ENSG00000223883,ENSG00000235446,ENSG00000229639,ENSG00000287453,ENSG00000033122,ENSG00000270615,ENSG00000287283,ENSG00000240692,ENSG00000229359,ENSG00000237919,ENSG00000066557,ENSG00000244389,ENSG00000116754,ENSG00000228988,ENSG00000118454,ENSG00000197568,ENSG00000226088,ENSG00000116761,ENSG00000278636,ENSG00000271992,ENSG00000233020,ENSG00000237033,ENSG00000229051,ENSG00000226208,ENSG00000050628,ENSG00000235782,ENSG00000269933,ENSG00000235079,ENSG00000132485,ENSG00000207721,ENSG00000229956,ENSG00000226324,ENSG00000231985,ENSG00000271618,ENSG00000228853
9	1	ENSG00000226415,ENSG00000199921,ENSG00000237552,ENSG00000117069,ENSG00000276081,ENSG00000288543,ENSG00000230498,ENSG00000142892,ENSG00000226084,ENSG00000228187,ENSG00000289212,ENSG00000287870,ENSG00000154027,ENSG00000233099,ENSG00000251767,ENSG00000287647,ENSG00000036549,ENSG00000251785,ENSG00000243437,ENSG00000077254,ENSG00000232672,ENSG00000180488,ENSG00000222849,ENSG00000219201,ENSG00000235613,ENSG00000232015,ENSG00000235927,ENSG00000162614,ENSG00000162613,ENSG00000162616,ENSG00000137960,ENSG00000273338,ENSG00000285928,ENSG00000213561,ENSG00000251958,ENSG00000213560,ENSG00000202263,ENSG00000233333,ENSG00000237413,ENSG00000122420,ENSG00000227556,ENSG00000212308,ENSG00000137959,ENSG00000137965,ENSG00000238015,ENSG00000235400,ENSG00000162618,ENSG00000230787,ENSG00000282898,ENSG00000235011,ENSG00000285462,ENSG00000288822,ENSG00000232676
10	1	ENSG00000199666,ENSG00000143032,ENSG00000287076,ENSG00000233593,ENSG00000285532,ENSG00000225446,ENSG00000272094,ENSG00000232882,ENSG00000122482,ENSG00000232393,ENSG00000162669,ENSG00000206817,ENSG00000215873,ENSG00000097046,ENSG00000241318,ENSG00000229067,ENSG00000203914,ENSG00000069702,ENSG00000239794,ENSG00000137948,ENSG00000289483,ENSG00000172031,ENSG00000233228,ENSG00000230667,ENSG00000189195,ENSG00000224678,ENSG00000233401,ENSG00000273487,ENSG00000226773,ENSG00000203910,ENSG00000233125,ENSG00000174842,ENSG00000122484,ENSG00000242764,ENSG00000162676,ENSG00000223787,ENSG00000229992,ENSG00000201317
267	1	ENSG00000067208,ENSG00000225505,ENSG00000234202,ENSG00000223896,ENSG00000122406,ENSG00000154511,ENSG00000206680,ENSG00000207523,ENSG00000207022,ENSG00000229052,ENSG00000289544,ENSG00000252121,ENSG00000239710,ENSG00000287797,ENSG00000252752,ENSG00000222664,ENSG00000251837,ENSG00000143033,ENSG00000117500,ENSG00000122483,ENSG00000237003,ENSG00000225297,ENSG00000223745,ENSG00000229567,ENSG00000117505,ENSG00000229635,ENSG00000207379,ENSG00000137942,ENSG00000212601,ENSG00000137936,ENSG00000224093,ENSG00000211575,ENSG00000260464,ENSG00000067334,ENSG00000023909,ENSG00000223490,ENSG00000234099,ENSG00000235794,ENSG00000232752,ENSG00000229842,ENSG00000250890,ENSG00000236689,ENSG00000226960,ENSG00000233129,ENSG00000198691,ENSG00000233482,ENSG00000137962,ENSG00000264963,ENSG00000226835,ENSG00000178596,ENSG00000236098,ENSG00000232918,ENSG00000286692,ENSG00000117528,ENSG00000117525,ENSG00000288736,ENSG00000223675,ENSG00000232857,ENSG00000263526,ENSG00000143036
11	1	ENSG00000224445,ENSG00000099260,ENSG00000223656,ENSG00000156869,ENSG00000201491,ENSG00000202254,ENSG00000231996,ENSG00000162688,ENSG00000228084,ENSG00000117620,ENSG00000283761,ENSG00000212248,ENSG00000202259,ENSG00000288826,ENSG00000156875,ENSG00000241073,ENSG00000156876,ENSG00000226952,ENSG00000122435,ENSG00000122477,ENSG00000137992,ENSG00000271415,ENSG00000225169,ENSG00000285530,ENSG00000230287,ENSG00000224616,ENSG00000137996,ENSG00000207750,ENSG00000215871,ENSG00000223906,ENSG00000079335,ENSG00000234332,ENSG00000228086,ENSG00000181656,ENSG00000213421,ENSG00000230402,ENSG00000285525,ENSG00000224685,ENSG00000162692,ENSG00000162694,ENSG00000273204,ENSG00000162695,ENSG00000230946,ENSG00000117543,ENSG00000235795,ENSG00000233184,ENSG00000252765,ENSG00000289355,ENSG00000271578,ENSG00000225938,ENSG00000170989,ENSG00000228399,ENSG00000173810,ENSG00000231671,ENSG00000226715,ENSG00000252530,ENSG00000183298,ENSG00000118733,ENSG00000252717,ENSG00000271277,ENSG00000162699,ENSG00000289192,ENSG00000233359
